id,name,country_id/id,siruta,state_id/id,zipcode,municipality
base.RO_1026,Alba Iulia,base.ro,1026,base.RO_AB,,Alba Iulia
base.RO_1035,Bărăbanț,base.ro,1035,base.RO_AB,510001,Alba Iulia
base.RO_1044,Micești,base.ro,1044,base.RO_AB,510002,Alba Iulia
base.RO_1053,Oarda,base.ro,1053,base.RO_AB,510003,Alba Iulia
base.RO_1062,Pâclișa,base.ro,1062,base.RO_AB,510004,Alba Iulia
base.RO_1080,Ciugud,base.ro,1080,base.RO_AB,517240,Ciugud
base.RO_1099,Drâmbar,base.ro,1099,base.RO_AB,517241,Ciugud
base.RO_1106,Limba,base.ro,1106,base.RO_AB,517242,Ciugud
base.RO_1115,Hăpria,base.ro,1115,base.RO_AB,517243,Ciugud
base.RO_1124,Șeușa,base.ro,1124,base.RO_AB,517244,Ciugud
base.RO_1133,Teleac,base.ro,1133,base.RO_AB,517246,Ciugud
base.RO_1160,Abrud,base.ro,1160,base.RO_AB,515100,Abrud
base.RO_1179,Abrud-Sat,base.ro,1179,base.RO_AB,515101,Abrud
base.RO_1188,Gura Cornei,base.ro,1188,base.RO_AB,515102,Abrud
base.RO_1197,Soharu,base.ro,1197,base.RO_AB,515103,Abrud
base.RO_1222,Aiud,base.ro,1222,base.RO_AB,515200,Aiud
base.RO_1231,Aiudul de Sus,base.ro,1231,base.RO_AB,515201,Aiud
base.RO_1240,Gâmbaș,base.ro,1240,base.RO_AB,515203,Aiud
base.RO_1259,Măgina,base.ro,1259,base.RO_AB,515207,Aiud
base.RO_1268,Păgida,base.ro,1268,base.RO_AB,515208,Aiud
base.RO_1277,Ciumbrud,base.ro,1277,base.RO_AB,515202,Aiud
base.RO_1286,Gârbova de Jos,base.ro,1286,base.RO_AB,515204,Aiud
base.RO_1295,Gârbova de Sus,base.ro,1295,base.RO_AB,515205,Aiud
base.RO_1302,Gârbovița,base.ro,1302,base.RO_AB,515206,Aiud
base.RO_1311,Sâncrai,base.ro,1311,base.RO_AB,515209,Aiud
base.RO_1320,Țifra,base.ro,1320,base.RO_AB,515210,Aiud
base.RO_1357,Blaj,base.ro,1357,base.RO_AB,515400,Blaj
base.RO_1366,Deleni-Obârșie,base.ro,1366,base.RO_AB,515401,Blaj
base.RO_1375,Flitești,base.ro,1375,base.RO_AB,515402,Blaj
base.RO_1384,Izvoarele,base.ro,1384,base.RO_AB,515403,Blaj
base.RO_1393,Petrisat,base.ro,1393,base.RO_AB,515405,Blaj
