id,code,risk_class,risk_rate,name
res_company_caen_111,111,4.25,0.27,"Cultivarea cerealelor (exclusiv orez), plantelor leguminoase si a plantelor producatoare de seminte oleaginoase"
res_company_caen_112,112,1,0.15,Cultivarea orezului
res_company_caen_113,113,4,0.26,"Cultivarea legumelor si a pepenilor, a radacinoaselor si tuberculilor"
res_company_caen_114,114,1,0.15,Cultivarea trestiei de zahar
res_company_caen_115,115,5.75,325,Cultivarea tutunului
res_company_caen_116,116,5.5,316,Cultivarea plantelor pentru fibre textile
res_company_caen_119,119,4,0.26,Cultivarea altor plante din culturi nepermanente
res_company_caen_121,121,2.25,196,Cultivarea strugurilor
res_company_caen_122,122,1,0.15,Cultivarea fructelor tropicale si subtropicale
res_company_caen_123,123,1,0.15,Cultivarea fructelor citrice
res_company_caen_124,124,2.5,205,Cultivarea fructelor semintoase si samburoase
res_company_caen_125,125,4.5,279,"Cultiv.fructelor arbustilor fructiferi, capsunilor, nuciferilor si a altor pomi fructiferi"
res_company_caen_126,126,1,0.15,Cultivarea fructelor oleaginoase
res_company_caen_127,127,1,0.15,Cultivarea plantelor pentru prepararea bauturilor
res_company_caen_128,128,1,0.15,"Cultivarea condiment.,plantelor aromatice, medicin. si a plantelor de uz farm."
res_company_caen_129,129,5.5,316,Cultivarea altor plante permanente
res_company_caen_130,130,4,0.26,Cultivarea plantelor pentru inmultire
res_company_caen_141,141,4,0.26,Cresterea bovinelor de lapte
res_company_caen_142,142,2.75,214,Cresterea altor bovine
res_company_caen_143,143,3.5,242,Cresterea cailor si a altor cabaline
res_company_caen_144,144,4.75,288,Cresterea camilelor si a camelidelor
res_company_caen_145,145,1,0.15,Cresterea ovinelor si a caprinelor
res_company_caen_146,146,6.5,352,Cresterea porcinelor
res_company_caen_147,147,3.25,233,Cresterea pasarilor
res_company_caen_149,149,1,0.15,Cresterea altor animale
res_company_caen_150,150,5.25,306,Activitati in ferme mixte (cultura vegetala combinata cu cresterea animalelor)
res_company_caen_161,161,3,224,Activitati auxiliare pentru productia vegetala
res_company_caen_162,162,3.5,242,Activitati auxiliare pentru cresterea animalelor
res_company_caen_163,163,5.75,325,Activitati dupa recoltare
res_company_caen_164,164,1,0.15,Pregatirea semintelor
res_company_caen_170,170,4.25,0.27,"Vanatoare, capturarea cu capcane a vanatului si activitati de servicii anexe vanatorii"
res_company_caen_210,210,4.5,279,Silvicultura si alte activitati forestiere
res_company_caen_220,220,7.5,389,Exploatare forestiera
res_company_caen_230,230,1,0.15,Colectarea produselor forestiere nelemnoase din flora spontana
res_company_caen_240,240,1,0.15,Activitati de servicii anexe silviculturii
res_company_caen_311,311,1,0.15,Pescuitul maritim
res_company_caen_312,312,1.5,168,Pescuitul in ape dulci
res_company_caen_321,321,1,0.15,Acvacultura maritima
res_company_caen_322,322,3.75,251,Acvacultura in ape dulci
res_company_caen_510,510,16.5,0.72,Extractia carbunelui superior (PCS=>23865kJ/kg)
res_company_caen_520,520,10.5,0.5,Extractia carbunelui inferior (PCS<23865kJ/kg)
res_company_caen_610,610,6.75,362,Extractia petrolului brut
res_company_caen_620,620,6.5,352,Extractia gazelor naturale
res_company_caen_710,710,5.75,325,Extractia minereurilor feroase
res_company_caen_721,721,6.5,352,Extractia minereurilor de uraniu si toriu
res_company_caen_729,729,9.25,454,Extractia altor minereuri metalifere neferoase
res_company_caen_811,811,6,334,"Extractia pietrei ornamentale si a pietrei pentru constructii, extractia pietrei calcaroase, ghipsului, cretei si a ardeziei"
res_company_caen_812,812,4.75,288,Extractia pietrisului si nisipului extractia argilei si caolinului
res_company_caen_891,891,1,0.15,Extractia mineralelor pentru industria chimica si a ingrasamintelor naturale
res_company_caen_892,892,1,0.15,Extractia turbei
res_company_caen_893,893,5.5,316,Extractia sarii
res_company_caen_899,899,12.5,573,Alte activitati extractive n.c.a.
res_company_caen_910,910,5.75,325,Activitati de servicii anexe extractiei petrolului brut si gazelor naturale
res_company_caen_990,990,11,518,Activitati de servicii anexe pentru extractia mineralelor
res_company_caen_1011,1011,2.75,214,Prelucrarea si conservarea carnii
res_company_caen_1012,1012,2,187,Prelucrarea si conservarea carnii de pasare
res_company_caen_1013,1013,2.75,214,Fabricarea produselor din carne (inclusiv din carne de pasare)
res_company_caen_1020,1020,3.75,251,"Prelucrarea si conservarea pestelui, crustaceelor si a molustelor"
res_company_caen_1031,1031,5.75,325,Prelucrarea si conservarea cartofilor
res_company_caen_1032,1032,1.5,168,Fabricarea sucurilor de fructe si legume
res_company_caen_1039,1039,4.5,279,Prelucrarea si conservarea fructelor si legumelor n.c.a.
res_company_caen_1041,1041,3.75,251,Fabricarea uleiurilor si grasimilor
res_company_caen_1042,1042,6,334,Fabricarea margarinei si a altor produse comestibile similare
res_company_caen_1051,1051,2.75,214,Fabricarea produselor lactate si a branzeturilor
res_company_caen_1052,1052,3.25,233,Fabricarea inghetatei
res_company_caen_1061,1061,5,297,"Fabricarea produselor de morarit, a amidonului si produselor din amidon"
res_company_caen_1062,1062,3,224,Fabricarea amidonului si a produselor din amidon
res_company_caen_1071,1071,3.75,251,"Fabricarea painii, fabricarea prajiturilor si a produselor proaspete de patiserie"
res_company_caen_1072,1072,3.5,242,"Fabric.biscuitilor si piscoturilor, fabric.prajiturilor si a prod.conservate de patiserie"
res_company_caen_1073,1073,4.75,288,"Fabric.macaroanelor, taiteilor, cus-cus-ului si a altor produse fainoase similare"
res_company_caen_1081,1081,6.25,343,Fabricarea zaharului
res_company_caen_1082,1082,1.5,168,"Fabricarea produselor din cacao, aciocolatei si a produselor zaharoase"
res_company_caen_1083,1083,2,187,Prelucrarea ceaiului si cafelei
res_company_caen_1084,1084,1.25,159,Fabricarea condimentelor si ingredientelor
res_company_caen_1085,1085,2.5,205,Fabricarea de mancaruri preparate
res_company_caen_1086,1086,1,0.15,Fabricarea preparatelor alimentare omogenizate si alimentelor dietetice
res_company_caen_1089,1089,1.5,168,Fabricarea altor produse alimentare n.c.a.
res_company_caen_1091,1091,2,187,Fabricare preparatelor pentru hrana animalelor de ferma
res_company_caen_1092,1092,1,0.15,Fabricare preparatelor pentru hrana animalelor de companie
res_company_caen_1101,1101,3,224,"Distilarea, rafinarea si mixarea bauturilor alcoolice"
res_company_caen_1102,1102,2.25,196,Fabricarea vinurilor din struguri
res_company_caen_1103,1103,1,0.15,Fabricarea cidrului si a altor vinurio din fructe
res_company_caen_1104,1104,1,0.15,"Fabricarea altor bauturi nedistilate, obtinute prin fermentare"
res_company_caen_1105,1105,4,0.26,Fabricarea berii
res_company_caen_1106,1106,1,0.15,Fabricarea maltului
res_company_caen_1107,1107,4.25,0.27,"Prod.de bauturi racorit.nealcoolice,  prod.de ape minerale si alte ape imbuteliate"
res_company_caen_1200,1200,2.25,196,Fabricarea produselor din tutun
res_company_caen_1310,1310,5.5,316,Pregatirea fibrelor si filarea fibrelor textile
res_company_caen_1320,1320,8.75,435,Productia de tesaturi
res_company_caen_1330,1330,1.75,178,Finisarea materialelor textile
res_company_caen_1391,1391,3,224,Fabricarea de metraje prin tricotare sau crosetare
res_company_caen_1392,1392,2.5,205,Fabric.de artic.confect. din textile (cu exceptia imbracamintei si lenjeriei de corp)
res_company_caen_1393,1393,1,0.15,Fabricarea de covoare si mochete
res_company_caen_1394,1394,2,187,"Fabricarea de odgoane, franghii, sfori si plase"
res_company_caen_1395,1395,2.25,196,"Fabric.de textile netesute si artic.din acestea, cu exceptia confect. de imbracam."
res_company_caen_1396,1396,2.75,214,Fabricarea de articole tehnice si industriale din textile
res_company_caen_1399,1399,4.25,0.27,Fabricarea altor articole textile n.c.a.
res_company_caen_1411,1411,1.25,159,Fabricarea articolelor de imbracaminte din piele
res_company_caen_1412,1412,2.75,214,Fabricarea de articole de imbracaminte pentru lucru
res_company_caen_1413,1413,2.25,196,Fabricarea altor articole de imbracaminte (exclusiv lenjeria de corp)
res_company_caen_1414,1414,2.5,205,Fabricarea de articole de lenjerie de corp
res_company_caen_1419,1419,3,224,Fabricarea altor articole de imbracaminte si accesorii n.c.a.
res_company_caen_1420,1420,1,0.15,Fabricarea articolelor din blana
res_company_caen_1431,1431,1.25,159,Fabricarea prin tricotare sau crosetare a ciorapilor si articolelor de galanterie
res_company_caen_1439,1439,2,187,Fabricarea prin tricotare sau crosetare a altor articole de imbracaminte
res_company_caen_1511,1511,1.5,168,"Tabacirea si finisarea pieilor,  prepararea si vopsirea blanurilor"
res_company_caen_1512,1512,1.75,178,Fabricarea articolelor de voiaj si marochinarie si a articolelor de harnasament
res_company_caen_1520,1520,2.75,214,Fabricarea incaltamintei
res_company_caen_1610,1610,5.5,316,Taierea si rindeluirea lemnului
res_company_caen_1621,1621,4,0.26,Fabricarea de furnire si a panourilor din lemn
res_company_caen_1622,1622,2.75,214,Fabricarea parchetului asamblat in panouri
res_company_caen_1623,1623,5.5,316,"Fabricarea altor elemente de dulgherie si tamplarie, pentru constructii"
res_company_caen_1624,1624,2,187,Fabricarea ambalajelor din lemn
res_company_caen_1629,1629,4.25,0.27,"Fabric.altor prod.din lemn;fabric.artic.din pluta,paie si din alte mat.veget.impletite"
res_company_caen_1711,1711,4.5,279,Fabricarea celulozei
res_company_caen_1712,1712,2.75,214,Fabricarea hartiei si cartonului
res_company_caen_1721,1721,5.5,316,Fabricarea hartiei si cartonului ondulat si a ambalajelor din hartie si carton
res_company_caen_1722,1722,1.75,178,"Fabricarea produselor de uz gospodaresc si sanitar, din hartie sau carton"
res_company_caen_1723,1723,1.75,178,Fabricarea articolelor de papetarie
res_company_caen_1724,1724,1,0.15,Fabricarea tapetului
res_company_caen_1729,1729,1,0.15,Fabricarea altor articole din hartie si carton n.c.a.
