id,zone_id/id,siruta
base.RO_AB,base.RO_C,10
base.RO_AR,base.RO_V,29
base.RO_AG,base.RO_SM,38
base.RO_BC,base.RO_NE,47
base.RO_BH,base.RO_NV,56
base.RO_BN,base.RO_NV,65
base.RO_BT,base.RO_NE,74
base.RO_BV,base.RO_C,83
base.RO_BR,base.RO_SE,92
base.RO_BZ,base.RO_SE,109
base.RO_CS,base.RO_V,118
base.RO_CJ,base.RO_NV,127
base.RO_CT,base.RO_SE,136
base.RO_CV,base.RO_C,145
base.RO_DB,base.RO_SM,154
base.RO_DJ,base.RO_SVO,163
base.RO_GL,base.RO_SE,172
base.RO_GJ,base.RO_SVO,181
base.RO_HR,base.RO_C,190
base.RO_HD,base.RO_V,207
base.RO_IL,base.RO_SM,216
base.RO_IS,base.RO_NE,225
base.RO_IF,base.RO_BI,234
base.RO_MM,base.RO_NV,243
base.RO_MH,base.RO_SVO,252
base.RO_MS,base.RO_C,261
base.RO_NT,base.RO_NE,270
base.RO_OT,base.RO_SVO,289
base.RO_PH,base.RO_SM,298
base.RO_SM,base.RO_NV,305
base.RO_SJ,base.RO_NV,314
base.RO_SB,base.RO_C,323
base.RO_SV,base.RO_NE,332
base.RO_TR,base.RO_SM,341
base.RO_TM,base.RO_V,350
base.RO_TL,base.RO_SE,369
base.RO_VS,base.RO_NE,378
base.RO_VL,base.RO_SVO,387
base.RO_VN,base.RO_SE,396
base.RO_B,base.RO_BI,403
base.RO_CL,base.RO_SM,519
base.RO_GR,base.RO_SM,528
